symbol,name,ml_score_raw,ml_score,sector,water_vulnerability,w_stress_weighted,pct_ops_high_stress
OYSE,Oyster Enterprises II Acquisition Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXY-WS,Occidental Petroleum Corp - Warrants (03/08/2027),0.6499777208869664,50.0,,0.3,2.5,0.0
OXY,Occidental Petroleum Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXUSU,Borealis Foods Inc - Units (1 Ord Class A & 1 War),0.6499777208869664,50.0,,0.3,2.5,0.0
OXSQH,Oxford Square Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXSQG,Oxford Square Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXSQ,Oxford Square Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXM,Oxford Industries Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
OXLCP,Oxford Lane Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OVLY,Oak Valley Bancorp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXLCO,Oxford Lane Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXLCN,Oxford Lane Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXLCL,Oxford Lane Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXLCI,Oxford Lane Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXLCG,Oxford Lane Capital Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
OXBRW,Oxbridge Re Holdings Ltd - Warrants (26/03/2024),0.6499777208869664,50.0,,0.3,2.5,0.0
OXBR,Oxbridge Re Holdings Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
OWLT,Owlet Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OWLS,OBOOK Holdings Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OWL-WS,Blue Owl Capital Inc Redeemable Warrants,0.6499777208869664,50.0,,0.3,2.5,0.0
OWL,Blue Owl Capital Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
OVV,Ovintiv Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ODP,ODP Corporation (The),0.6499777208869664,50.0,,0.3,2.5,0.0
ODFL,Old Dominion Freight Line Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
ODD,ODDITY Tech Ltd - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
NTCT,Netscout Systems Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NTBL,Notable Labs Inc Ord,0.6499777208869664,50.0,,0.3,2.5,0.0
NTB,Bank of N T Butterfield & Son Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
NTAP,Netapp Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NSYS,Nortech Systems Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NSTS,NSTS Bancorp Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NSSC,NAPCO Security Technologies Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NSRX,Nasus Pharma Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
NSPR,InspireMD Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NSP,Insperity Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
